fitur_aktif,jumlah_fitur,MAE,MAPE,R2
"ecg_mean, ecg_mobility, ecg_cv, ecg_complexity",4,11.516238743441352,9.126872543093308,0.576920773826266
"ecg_mean, ecg_mobility, ecg_skewness, ecg_cv",4,11.444101348996924,9.002752932354397,0.5740043269354331
"ecg_sf, ecg_mobility",2,11.525944370138879,9.102546291804114,0.5625200679436846
"ecg_mean, ecg_cv, ecg_complexity, ecg_cm10",4,12.022340167451734,9.466511488785622,0.556790366418177
"ecg_mobility, ecg_cv, ecg_cm10",3,12.42728331766368,9.807508472199313,0.5544853631810533
"ecg_complexity, ecg_cm10",2,12.052475559693134,9.471350300982857,0.5540168674447645
"ecg_mean, ecg_mobility, ecg_cm10",3,12.406856551338228,9.787585426795358,0.5533904634342716
"ecg_mean, ecg_sf, ecg_mobility, ecg_cv",4,12.099481694686961,9.604137050236474,0.5528461534288795
"ecg_mean, ecg_mobility, ecg_complexity",3,12.379591436397703,9.828738572653101,0.5348193896870865
"ecg_mean, ecg_skewness, ecg_cv, ecg_complexity",4,12.293113028780864,9.719728590319557,0.5332024615969734
"ecg_mean, ecg_sf, ecg_cv, ecg_complexity",4,12.186039848251024,9.571591856969238,0.5328706477800939
"ecg_mobility, ecg_cv, ecg_complexity",3,12.524098822177606,9.9711840852782,0.5323534602248333
"ecg_cv, ecg_complexity, ecg_cm10",3,12.775110389919274,10.081158188910349,0.527778056216748
"ecg_mean, ecg_complexity, ecg_cm10",3,12.718882622898501,10.054627835068896,0.5273670730910497
"ecg_sf, ecg_complexity",2,11.834968897581064,9.24160713452742,0.5264387729806057
"ecg_mean, ecg_mobility, ecg_skewness",3,12.531005425232715,9.895004422789723,0.522806748931172
"ecg_mobility, ecg_skewness, ecg_cv",3,12.403336130298767,9.791032394474671,0.5225673241437327
"ecg_sf, ecg_mobility, ecg_cv",3,12.832245342470552,10.184779686259015,0.5222976230850269
"ecg_mean, ecg_sf, ecg_mobility",3,12.864834094650211,10.21670389631147,0.5145920548072944
"ecg_sf, ecg_cv, ecg_complexity",3,12.936513929304803,10.177669707502671,0.5067722089006541
"ecg_mean, ecg_sf, ecg_complexity",3,12.915838241229423,10.152865620766603,0.504282151347869
"ecg_skewness, ecg_complexity",2,12.503967985665295,9.882349041902593,0.47917983438743417
"ecg_mean, ecg_sf, ecg_cv, ecg_cm10",4,13.363207398473932,10.633303617338342,0.46679898139660103
"ecg_mean, ecg_skewness, ecg_complexity",3,13.512298529798656,10.728701852275172,0.4656655850735708
"ecg_skewness, ecg_cv, ecg_complexity",3,13.577655701655418,10.772658017066425,0.45969419523772914
"ecg_mean, ecg_sf, ecg_cm10",3,14.258848425178583,11.375502938098366,0.41964412452548827
"ecg_sf, ecg_cv, ecg_cm10",3,14.45460813100906,11.514537975494438,0.41016333563575624
"ecg_sf, ecg_cm10",2,14.322181887010139,11.413338265568886,0.39455601549067876
"ecg_mean, ecg_skewness, ecg_cv",3,16.2908846131817,12.893580731947896,0.2908505297426617
"ecg_mean, ecg_mobility, ecg_cv",3,16.48876206472206,13.136470227703917,0.2763786773512741
"ecg_mean, ecg_cv, ecg_complexity",3,16.88575939793923,13.444084508633788,0.2570286592511166
"ecg_mean, ecg_cv, ecg_cm10",3,17.159865004234064,13.737454673496096,0.22062102953988105
"ecg_mean, ecg_cm10",2,17.692330163008993,14.167334012980138,0.17106211980195252
"ecg_cv, ecg_cm10",2,17.773773617155133,14.229015291607139,0.16879641961430591
"ecg_mean, ecg_sf, ecg_cv",3,18.13585649570815,14.481452957145818,0.16391338271488043
ecg_cm10,1,18.36460911396625,14.719058477418889,0.10696110217881716
"ecg_mean, ecg_mobility",2,18.51331273063272,14.793882892026392,0.09991775107751166
"ecg_mean, ecg_complexity",2,18.824209603995207,14.97328648075665,0.07996146473416554
"ecg_mobility, ecg_cv",2,18.6637310789528,14.883751180699859,0.06930416373054926
"ecg_skewness, ecg_cv",2,18.87773038692403,15.018671160086788,0.05754245487898724
"ecg_mean, ecg_skewness",2,18.935099018689982,15.036951068793625,0.05473274707686726
"ecg_mean, ecg_sf",2,19.39344766664096,15.480839397252574,0.045343990642884524
"ecg_sf, ecg_cv",2,19.538422817001436,15.642029802438447,0.04331003671468381
"ecg_cv, ecg_complexity",2,19.32768536704985,15.385842925912021,0.0421472056960438
"ecg_mean, ecg_cv",2,19.82999881748786,15.96181363715307,0.010536842479253128
ecg_mobility,1,20.68791702210953,16.47035514215563,-0.16954486581213168
ecg_skewness,1,21.126609252165384,16.81266062614782,-0.22146148165800317
ecg_complexity,1,21.220110807044872,16.753284862604016,-0.22325589309468707
ecg_sf,1,22.183707321478785,17.73505125272071,-0.2718641373239379
ecg_cv,1,23.065492074869105,18.51814436823295,-0.3120932337761664
ecg_mean,1,24.568035681830967,19.55987115869673,-0.4814480797046168
